model,nbins,eweight,fweight,label,group,weight_type,train_or_test,row_type,ncount,mae,rmse,rsq
TaLinear,31,10.0,1.0,TaLinear_e10f1,*all,unweighted,training,energy,363.0,1.58972,4.89882,0.033347
TaLinear,31,10.0,1.0,TaLinear_e10f1,*all,unweighted,training,force,12672.0,0.0655073,0.138075,0.989335
TaLinear,31,10.0,1.0,TaLinear_e10f1,*all,unweighted,training,stress,2178.0,393956.0,3174520.0,-3.17565
TaLinear,31,10.0,1.0,TaLinear_e10f1,*all,weighted,training,energy,363.0,1.58972,4.89882,0.033347
TaLinear,31,10.0,1.0,TaLinear_e10f1,*all,weighted,training,force,12672.0,6.55073,13.8075,0.989335
TaLinear,31,10.0,1.0,TaLinear_e10f1,*all,weighted,training,stress,2178.0,3.93956e-07,3.17452e-06,-3.17565
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk1,unweighted,training,energy,31.0,0.744883,0.745188,-6.16188
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk1,unweighted,training,force,5526.0,0.11962,0.197692,0.976009
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk1,unweighted,training,stress,186.0,14050.0,23506.5,0.998099
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk1,weighted,training,energy,31.0,0.744883,0.745188,-6.16188
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk1,weighted,training,force,5526.0,11.962,19.7692,0.976009
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk1,weighted,training,stress,186.0,1.405e-08,2.35065e-08,0.998099
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk10,unweighted,training,energy,31.0,0.724954,0.724954,-168.461
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk10,unweighted,training,force,186.0,2.9736e-05,3.85388e-05,0.974749
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk10,unweighted,training,stress,186.0,873.355,1175.0,0.999996
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk10,weighted,training,energy,31.0,0.724954,0.724954,-168.461
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk10,weighted,training,force,186.0,0.0029736,0.00385388,0.974749
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk10,weighted,training,stress,186.0,8.73355e-10,1.175e-09,0.999996
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk11,unweighted,training,energy,31.0,0.83119,1.06509,0.745548
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk11,unweighted,training,force,192.0,2.17486e-05,3.20075e-05,0.978212
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk11,unweighted,training,stress,186.0,17649.8,84912.2,0.978564
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk11,weighted,training,energy,31.0,0.83119,1.06509,0.745548
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk11,weighted,training,force,192.0,0.00217486,0.00320075,0.978212
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk11,weighted,training,stress,186.0,1.76498e-08,8.49122e-08,0.978564
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk12,unweighted,training,energy,22.0,12.4273,19.4185,-1.11636
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk12,unweighted,training,force,198.0,7.10021e-15,1.11163e-14,-0.376789
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk12,unweighted,training,stress,132.0,5549510.0,12804500.0,-5.01296
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk12,weighted,training,energy,22.0,12.4273,19.4185,-1.11636
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk12,weighted,training,force,198.0,7.10021e-13,1.11163e-12,-0.376789
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk12,weighted,training,stress,132.0,5.54951e-06,1.28045e-05,-5.01296
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk2,unweighted,training,energy,31.0,0.802824,0.802951,-70.6225
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk2,unweighted,training,force,2760.0,0.0447188,0.0890201,0.997823
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk2,unweighted,training,stress,186.0,2242.37,3842.07,0.999816
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk2,weighted,training,energy,31.0,0.802824,0.802951,-70.6225
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk2,weighted,training,force,2760.0,4.47188,8.90201,0.997823
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk2,weighted,training,stress,186.0,2.24237e-09,3.84207e-09,0.999816
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk3,unweighted,training,energy,31.0,0.766033,0.768324,0.734492
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk3,unweighted,training,force,1656.0,0.0274961,0.0475681,0.99896
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk3,unweighted,training,stress,186.0,20839.5,79418.6,0.966313
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk3,weighted,training,energy,31.0,0.766033,0.768324,0.734492
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk3,weighted,training,force,1656.0,2.74961,4.75681,0.99896
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk3,weighted,training,stress,186.0,2.08395e-08,7.94186e-08,0.966313
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk4,unweighted,training,energy,31.0,1.18909,1.40973,0.902343
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk4,unweighted,training,force,540.0,4.09319e-05,9.71891e-05,0.785689
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk4,unweighted,training,stress,186.0,195473.0,561824.0,0.508384
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk4,weighted,training,energy,31.0,1.18909,1.40973,0.902343
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk4,weighted,training,force,540.0,0.00409319,0.00971891,0.785689
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk4,weighted,training,stress,186.0,1.95473e-07,5.61824e-07,0.508384
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk5,unweighted,training,energy,31.0,0.746795,0.746796,-3018.89
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk5,unweighted,training,force,372.0,8.60517e-05,0.000126097,0.839455
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk5,unweighted,training,stress,186.0,30911.7,42841.5,0.993445
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk5,weighted,training,energy,31.0,0.746795,0.746796,-3018.89
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk5,weighted,training,force,372.0,0.00860517,0.0126097,0.839455
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk5,weighted,training,stress,186.0,3.09117e-08,4.28415e-08,0.993445
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk6,unweighted,training,energy,31.0,0.744754,0.744755,-1655.64
