element,model,search_item,rel_path,file,Group
Fe,Linear,-15.96584546,./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020,/home/cmmulle/FitSNAP/./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020/config_201.json,CCMC-bcc-hcp-elastic_Jun2020
Fe,Linear,-15.96495995,./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020,/home/cmmulle/FitSNAP/./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020/config_548.json,CCMC-bcc-hcp-elastic_Jun2020
Fe,Linear,-15.96493595,./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020,/home/cmmulle/FitSNAP/./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020/config_542.json,CCMC-bcc-hcp-elastic_Jun2020
Fe,Linear,-15.96098101,./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020,/home/cmmulle/FitSNAP/./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020/config_161.json,CCMC-bcc-hcp-elastic_Jun2020
Fe,Linear,-15.95419916,./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020,/home/cmmulle/FitSNAP/./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020/config_49.json,CCMC-bcc-hcp-elastic_Jun2020
Fe,Linear,-15.94687262,./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020,/home/cmmulle/FitSNAP/./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020/config_599.json,CCMC-bcc-hcp-elastic_Jun2020
Fe,Linear,-15.9462699,./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020,/home/cmmulle/FitSNAP/./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020/config_589.json,CCMC-bcc-hcp-elastic_Jun2020
Fe,Linear,-15.94591564,./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020,/home/cmmulle/FitSNAP/./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020/config_456.json,CCMC-bcc-hcp-elastic_Jun2020
Fe,Linear,-15.94561292,./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020,/home/cmmulle/FitSNAP/./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020/config_579.json,CCMC-bcc-hcp-elastic_Jun2020
Fe,Linear,-15.94436543,./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020,/home/cmmulle/FitSNAP/./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020/config_482.json,CCMC-bcc-hcp-elastic_Jun2020
Fe,Linear,-15.94219407,./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020,/home/cmmulle/FitSNAP/./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020/config_294.json,CCMC-bcc-hcp-elastic_Jun2020
Fe,Linear,-15.94218807,./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020,/home/cmmulle/FitSNAP/./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020/config_614.json,CCMC-bcc-hcp-elastic_Jun2020
Fe,Linear,-15.94207144,./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020,/home/cmmulle/FitSNAP/./examples/Fe_Linear_NPJ2021/JSON/CCMC-bcc-hcp-elastic_Jun2020/config_584.json,CCMC-bcc-hcp-elastic_Jun2020
