element,model,search_item,rel_path,file,Group
WBe,PRB2019,-8.8819,./examples/WBe_PRB2019/JSON/slice_sample,/home/cmmulle/FitSNAP/./examples/WBe_PRB2019/JSON/slice_sample/899_slice_sample.json,slice_sample
WBe,PRB2019,-8.88183,./examples/WBe_PRB2019/JSON/slice_sample,/home/cmmulle/FitSNAP/./examples/WBe_PRB2019/JSON/slice_sample/869_slice_sample.json,slice_sample
WBe,PRB2019,-8.88181,./examples/WBe_PRB2019/JSON/slice_sample,/home/cmmulle/FitSNAP/./examples/WBe_PRB2019/JSON/slice_sample/419_slice_sample.json,slice_sample
WBe,PRB2019,-8.88177,./examples/WBe_PRB2019/JSON/slice_sample,/home/cmmulle/FitSNAP/./examples/WBe_PRB2019/JSON/slice_sample/752_slice_sample.json,slice_sample
WBe,PRB2019,-8.88157,./examples/WBe_PRB2019/JSON/slice_sample,/home/cmmulle/FitSNAP/./examples/WBe_PRB2019/JSON/slice_sample/955_slice_sample.json,slice_sample
WBe,PRB2019,-8.88146,./examples/WBe_PRB2019/JSON/slice_sample,/home/cmmulle/FitSNAP/./examples/WBe_PRB2019/JSON/slice_sample/1266_slice_sample.json,slice_sample
WBe,PRB2019,-8.88134,./examples/WBe_PRB2019/JSON/slice_sample,/home/cmmulle/FitSNAP/./examples/WBe_PRB2019/JSON/slice_sample/956_slice_sample.json,slice_sample
WBe,PRB2019,-8.88121,./examples/WBe_PRB2019/JSON/slice_sample,/home/cmmulle/FitSNAP/./examples/WBe_PRB2019/JSON/slice_sample/102_slice_sample.json,slice_sample
WBe,PRB2019,-8.88103,./examples/WBe_PRB2019/JSON/slice_sample,/home/cmmulle/FitSNAP/./examples/WBe_PRB2019/JSON/slice_sample/675_slice_sample.json,slice_sample
WBe,PRB2019,-8.8809,./examples/WBe_PRB2019/JSON/slice_sample,/home/cmmulle/FitSNAP/./examples/WBe_PRB2019/JSON/slice_sample/782_slice_sample.json,slice_sample
WBe,PRB2019,-8.88089,./examples/WBe_PRB2019/JSON/slice_sample,/home/cmmulle/FitSNAP/./examples/WBe_PRB2019/JSON/slice_sample/1330_slice_sample.json,slice_sample
WBe,PRB2019,-8.88077,./examples/WBe_PRB2019/JSON/slice_sample,/home/cmmulle/FitSNAP/./examples/WBe_PRB2019/JSON/slice_sample/254_slice_sample.json,slice_sample
WBe,PRB2019,-8.88068,./examples/WBe_PRB2019/JSON/slice_sample,/home/cmmulle/FitSNAP/./examples/WBe_PRB2019/JSON/slice_sample/104_slice_sample.json,slice_sample
WBe,PRB2019,-8.88052,./examples/WBe_PRB2019/JSON/slice_sample,/home/cmmulle/FitSNAP/./examples/WBe_PRB2019/JSON/slice_sample/1485_slice_sample.json,slice_sample
WBe,PRB2019,-8.88034,./examples/WBe_PRB2019/JSON/slice_sample,/home/cmmulle/FitSNAP/./examples/WBe_PRB2019/JSON/slice_sample/488_slice_sample.json,slice_sample
WBe,PRB2019,-8.88031,./examples/WBe_PRB2019/JSON/slice_sample,/home/cmmulle/FitSNAP/./examples/WBe_PRB2019/JSON/slice_sample/253_slice_sample.json,slice_sample
WBe,PRB2019,-8.88024,./examples/WBe_PRB2019/JSON/slice_sample,/home/cmmulle/FitSNAP/./examples/WBe_PRB2019/JSON/slice_sample/120_slice_sample.json,slice_sample
WBe,PRB2019,-8.8801,./examples/WBe_PRB2019/JSON/slice_sample,/home/cmmulle/FitSNAP/./examples/WBe_PRB2019/JSON/slice_sample/898_slice_sample.json,slice_sample
WBe,PRB2019,-8.88007,./examples/WBe_PRB2019/JSON/slice_sample,/home/cmmulle/FitSNAP/./examples/WBe_PRB2019/JSON/slice_sample/820_slice_sample.json,slice_sample
